koer,kohtunik,grade,predicted
Apollo Bernteam,Rade Vesic,4.0,1
Apollo Bernteam,Eva Liljekvist Borg,13.0,1
Apollo Bernteam,Olena Chuieva,13.0,1
Apollo Bernteam,Juta Haranen,4.0,1
Apollo Bernteam,Kostadin Shankov,13.0,1
Apollo Bernteam,Nenad Matejevic,13.0,1
Apollo Bernteam,Hedi Kumm,13.0,1
Apollo Bernteam,Marek Lewandowski,13.0,1
Apollo Bernteam,Nina Karlsdotter,13.0,1
Apollo Bernteam,Michael Camac,4.0,1
Apollo Bernteam,Petra Junehall,4.0,1
Apollo Bernteam,Galyna Kalinichenko,4.0,1
Apollo Bernteam,Bonka Georgieva Laslo,4.0,1
Apollo Bernteam,Elena Agafonova,4.0,1
Apollo Bernteam,Ligita Zake,13.0,1
Apollo Bernteam,Dina Korna,13.0,1
Apollo Bernteam,Avi Mallach,4.0,1
Apollo Bernteam,Sarah Burns,13.0,1
Apollo Bernteam,Linda Jürgens,4.0,1
Apollo Bernteam,Pars Kibarer,4.0,1
Apollo Bernteam,Karl-Erik Johansson,13.0,1
Apollo Bernteam,Paula Heikkinen-Lehkonen,13.0,1
Apollo Bernteam,Sviatlana Radziuk,4.0,1
Apollo Bernteam,Gerard O'shea,4.0,1
Apollo Bernteam,Aire-Piret Pärn,4.0,1
Apollo Bernteam,Audrone Babianskiene,4.0,1
Apollo Bernteam,Natalia Sedykh,4.0,1
Apollo Bernteam,Istvanne Juhasz,4.0,1
Apollo Bernteam,Olga Kojevnikova,4.0,1
Apollo Bernteam,Panos Demetriou,4.0,1
Apollo Bernteam,Myriam Vermeire,4.0,1
Apollo Bernteam,Dragana Vasiljevic,13.0,1
Apollo Bernteam,Tino Pehar,13.0,1
Apollo Bernteam,Igoris Zizevskis,4.0,1
Apollo Bernteam,Csaba Zsolt Lokodi,13.0,1
Apollo Bernteam,Roger Vanhoenacker,4.0,1
Apollo Bernteam,Shyam Mehta,4.0,1
Apollo Bernteam,Sanja Momčilović Bognič,13.0,1
Apollo Bernteam,Carmen Navarro Guisado,13.0,1
Apollo Bernteam,Svante Frisk,13.0,1
Apollo Bernteam,Volodymyr Shiyan,13.0,1
Apollo Bernteam,Refet Hadzic,13.0,1
Apollo Bernteam,Elin Normannseth,4.0,1
Apollo Bernteam,Melita Grošelj,13.0,1
Apollo Bernteam,Manola Poggesi,4.0,1
Apollo Bernteam,Hans Almgren,4.0,1
Apollo Bernteam,Tina Peixoto,4.0,1
Apollo Bernteam,Lessi Tchistiakova,4.0,1
Apollo Bernteam,Sergej Vanzha,4.0,1
Apollo Bernteam,Sebastian Harnik,4.0,1
Apollo Bernteam,Angel Pons Arino,4.0,1
Apollo Bernteam,Helina Simberg,4.0,1
Apollo Bernteam,Vija Klučniece,4.0,1
Apollo Bernteam,Olga Dolejšova,4.0,1
Apollo Bernteam,Gunnar Nymann,4.0,1
Apollo Bernteam,Massimo Inzoli,4.0,1
Apollo Bernteam,Kimmo Mustonen,4.0,1
Apollo Bernteam,Oliver Simon,4.0,1
Apollo Bernteam,Krystyna Opara,4.0,1
Apollo Bernteam,Branislav Rajic,4.0,1
Apollo Bernteam,Pedro Ivo Santos Bispo,13.0,1
Apollo Bernteam,Inese Pablaka,4.0,1
Apollo Bernteam,Regina Vaitkunskiene,4.0,1
Apollo Bernteam,Lisbet Utke Ramsing,13.0,1
Apollo Bernteam,Elena Ruskovaara,4.0,1
Apollo Bernteam,Olga Kupriyanova Sinko,4.0,1
Apollo Bernteam,Galina Zhuk,4.0,1
Apollo Bernteam,Tanya Ahlman,4.0,1
Apollo Bernteam,Tatjana Romanovskaya,4.0,1
Apollo Bernteam,Igor Mioč,13.0,1
Apollo Bernteam,Colette Muldoon,13.0,1
Apollo Bernteam,Elizabeth Wogan,4.0,1
Apollo Bernteam,Nina Kharatishvili,4.0,1
Apollo Bernteam,Zorica Blomqvist,4.0,1
Apollo Bernteam,Fabrizio La Rocca,4.0,1
Apollo Bernteam,Alvar Ristikivi,4.0,1
Apollo Bernteam,Yulija Pokrovskaya,4.0,1
Apollo Bernteam,Malgorzata Halas,4.0,1
Apollo Bernteam,Carlos Fernandez-Renau,13.0,1
Apollo Bernteam,Anatoli Zhuk,4.0,1
Apollo Bernteam,Livija Zizevske,4.0,1
Apollo Bernteam,Fernando Quilis Bonet,13.0,1
Apollo Bernteam,Boris Baic,13.0,1
Apollo Bernteam,Nikolay Sedykh,4.0,1
Apollo Bernteam,Sanna Vakkilainen,4.0,1
Apollo Bernteam,Jane Serafimov,4.0,1
Apollo Bernteam,Slobodan Miloshevski,13.0,1
Apollo Bernteam,Lisbeth Mach,4.0,1
Apollo Bernteam,Reet Lint,4.0,1
Apollo Bernteam,Hassi Assenmacher-Feyel,13.0,1
Apollo Bernteam,Brenda Banbury,13.0,1
Apollo Bernteam,John R. Walsh,4.0,1
Apollo Bernteam,Alfonso Castells,4.0,1
Apollo Bernteam,Marie Clair Walsh,13.0,1
Apollo Bernteam,Marina Ostrovskaya,13.0,1
Apollo Bernteam,Anna Rogowska,4.0,1
Apollo Bernteam,Victoria Pohodina,4.0,1
Apollo Bernteam,Maria Amelia Taborda,4.0,1
Apollo Bernteam,Silvia Weber-Martegani,13.0,1
Apollo Bernteam,Tapio Eerola,4.0,1
Apollo Bernteam,Maria Viarbitskaya,13.0,1
Apollo Bernteam,Anca Giura,4.0,1
Apollo Bernteam,Elzbieta Chwalibog,4.0,1
Apollo Bernteam,Viktoras Avtuško,4.0,1
Apollo Bernteam,Rafael Malo Alcrudo,13.0,1
Apollo Bernteam,Jose Homem De Mello,4.0,1
Apollo Bernteam,Bojan Matakovic,4.0,1
Apollo Bernteam,Saija Juutilainen,13.0,1
